City,ID,Country,latitude,longitude,Date,Temperature,Cloudiness,Humidity,Wind Speed
ust-tsilma,477940,RU,65.44,52.15,1588348129,273.62,98,95,1.77
san patricio,3985168,MX,19.22,-104.7,1588348130,299.15,20,78,2.63
petropavlovsk-kamchatskiy,2122104,RU,53.05,158.65,1588347892,274.15,90,100,3.0
tual,1623197,ID,-5.67,132.75,1588348133,301.06,100,77,2.75
pevek,2122090,RU,69.7,170.31,1588348134,265.3,46,91,3.73
torre-pacheco,2510271,ES,37.74,-0.95,1588348135,301.15,0,44,7.2
zyryanka,2119283,RU,65.75,150.85,1588348136,269.6,84,97,1.21
mwene-ditu,207570,CD,-7.0,23.45,1588348138,296.56,83,65,1.03
vangaindrano,1054329,MG,-23.35,47.6,1588348139,296.18,40,84,3.24
high level,5975004,CA,58.52,-117.14,1588348140,277.15,75,86,5.1
ribeira grande,3372707,PT,38.52,-28.7,1588348141,291.15,40,88,7.2
mahebourg,934322,MU,-20.41,57.7,1588348143,298.15,40,65,5.7
ornskoldsvik,2686469,SE,63.29,18.72,1588348144,278.15,90,60,3.1
aginskoye,2028078,RU,51.1,114.53,1588348145,284.15,91,34,6.02
olafsvik,3414079,IS,64.89,-23.71,1588348147,275.41,75,79,5.82
nantucket,4944903,US,41.28,-70.1,1588348148,284.38,90,93,13.4
srandakan,1626493,ID,-7.94,110.25,1588348149,298.8,77,83,2.64
ulaangom,1515029,MN,49.98,92.07,1588348150,284.14,53,37,0.54
mayor pablo lagerenza,3867427,PY,-19.93,-60.77,1588348151,296.78,98,79,3.13
kavaratti,1267390,IN,10.57,72.64,1588348153,302.82,18,71,5.07
comodoro rivadavia,3860443,AR,-45.87,-67.5,1588347988,288.15,100,51,3.6
dunedin,2191562,NZ,-45.87,170.5,1588347857,284.77,41,42,0.45
nouadhibou,2377457,MR,20.93,-17.03,1588348102,301.15,0,42,5.7
camas,2520477,ES,37.4,-6.03,1588348157,300.76,50,42,1.5
arroio grande,3471422,BR,-32.24,-53.09,1588348158,289.22,0,76,4.73
balsas,3406545,BR,-7.53,-46.04,1588347947,304.63,65,52,3.01
barcelos,2742416,PT,41.54,-8.62,1588348063,289.37,75,93,5.1
longkou,1802550,CN,37.65,120.33,1588348162,293.48,8,64,6.63
wausau,5278120,US,44.96,-89.63,1588348163,286.83,75,50,3.6
riverton,5780557,US,40.52,-111.94,1588348165,286.97,90,87,3.1
amalapuram,1278935,IN,16.58,82.02,1588348166,301.72,23,82,2.2
fort nelson,5955902,CA,58.81,-122.7,1588348167,276.15,20,74,0.97
morwa,1262734,IN,22.9,73.83,1588348168,308.15,44,18,4.86
kudahuvadhoo,1337607,MV,2.67,72.89,1588348169,303.02,57,75,5.1
wasilla,5877641,US,61.58,-149.44,1588348171,275.25,1,69,2.1
kieta,2094027,PG,-6.22,155.63,1588348172,299.64,24,78,1.99
gizo,2108857,SB,-8.1,156.84,1588348173,301.63,83,78,3.78
harlingen,4696233,US,26.19,-97.7,1588348174,301.17,1,48,7.2
adamas,265711,GR,36.73,24.43,1588348176,295.15,0,46,6.2
saskylakh,2017155,RU,71.92,114.08,1588348177,267.24,95,96,6.09
hambantota,1244926,LK,6.12,81.12,1588347903,301.04,73,83,5.48
huarmey,3939168,PE,-10.07,-78.15,1588348179,297.49,2,63,4.04
lubbock,5525584,US,33.6,-101.83,1588348180,297.07,75,37,6.7
mecca,104515,SA,21.43,39.83,1588348048,303.25,0,18,5.52
ust-maya,2013918,RU,60.42,134.53,1588348183,272.08,100,96,3.83
basoko,219414,CD,1.24,23.62,1588348184,297.5,100,78,2.73
cockburn town,3576994,TC,21.46,-71.14,1588348185,300.02,63,79,7.29
